file	id	name	model	state	rating	fights	kit	len	verbs	useArgs	useLits	deadLits	readsKit	enemyKit	lead	enemyStarted	telegraph	enemyCasting	projectiles	zones	visible	los	pathTo	ray	obstacles	blinded	silenced	rooted	stunned	refused	missed	damaged	dealt	busy	ready	cooldownField	burn	airborne	memApi	closureState	cyrillicSay	cyrillicAny	hardDist	useJump	tryCatch	faceBeforeUse	hp
___c_3d616571-08f.js	c_3d616571-08f	FIRING	рукописный эталон	retired	1090	683	bolt[blind] lob[silence] cone[damage]	3064	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	0	N	N	Y	N
___c_4a015fb3-c2e.js	c_4a015fb3-c2e	PRISM	рукописный эталон	active	1050	7368	beam[damage] blink[cleanse] zone[burn]	3064	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	0	N	N	Y	N
___c_4c466a69-0c8.js	c_4c466a69-0c8	ROCKFALL	рукописный эталон	retired	1170	1089	bolt[blind] lob[silence] cone[damage]	3219	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	0	N	N	Y	N
___c_a696c00e-b5a.js	c_a696c00e-b5a	CRUSHER	рукописный эталон	active	1130	9582	cone[damage+knock] dash[damage] self[shield]	3219	moveTo,faceAt,use,ready,say	0/0/1		k1,k2,k3	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	Y	0	N	N	Y	N
google_gemini_3_7_flash_plain__c_04539cd5-46c.js	c_04539cd5-46c	FURNACE	google/gemini-3.7-flash:plain	active	1314	6518	dash[burn] cone[damage+burn] zone[burn+weaken:armor]	2235	move,moveTo,stop,faceAt,use,ready,los,ray,pathTo,say	3/0/0	k3,k2,k1		N	N	N	N	N	N	N	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	6	N	N	Y	N
google_gemini_3_7_flash_plain__c_15a339f3-1cd.js	c_15a339f3-1cd	ASH AND ICE	google/gemini-3.7-flash:plain	active	1205	6267	cone[burn+damage] bolt[damage+root] self[cleanse+boost:speed]	2584	move,moveTo,face,use,ready,los,say	3/0/0	k3,k1,k2		N	N	Y	N	Y	Y	Y	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	Y	6	N	N	Y	Y
google_gemini_3_7_flash_plain__c_15f84e8a-0fb.js	c_15f84e8a-0fb	COLDSNAP	google/gemini-3.7-flash:plain	retired	1515	28	cone[damage+root] dash[damage] self[shield]	1748	move,moveTo,faceAt,use,ready,los,ray	3/0/0	k3,k2,k1		N	N	N	N	Y	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	N	N	N	6	N	N	Y	N
google_gemini_3_7_flash_plain__c_1eb4e823-708.js	c_1eb4e823-708	ETCHER	google/gemini-3.7-flash:plain	active	1339	6519	bolt[burn+weaken:armor] zone[burn+weaken:armor] cone[damage]	3441	move,moveTo,faceAt,use,ready	4/0/0	k3,k2,k1		N	N	Y	N	N	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	5	N	N	Y	N
google_gemini_3_7_flash_plain__c_255ab41e-6cf.js	c_255ab41e-6cf	ASH WOLF	google/gemini-3.7-flash:plain	active	1270	8384	dash[damage+burn] self[boost:speed] cone[burn+silence]	1972	move,moveTo,stop,faceAt,use,ready,los,ray,say	3/0/0	k2,k3,k1		N	N	N	N	N	N	N	N	N	Y	N	Y	Y	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	Y	4	N	N	Y	N
google_gemini_3_7_flash_plain__c_280b5a22-908.js	c_280b5a22-908	KILLER WASP	google/gemini-3.7-flash:plain	active	1388	7952	dash[damage+burn] blink[boost:speed] bolt[damage+weaken:speed]	3425	move,moveTo,face,use,ready,los,ray,pathTo,say	2/0/3	k2,k3,k1		N	N	Y	N	Y	Y	N	N	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	Y	11	N	N	Y	N
